,iql_2p_1,iql_2p_2,iql_2p_3,iql_2p_4,iql_2p_5,iql_2p_6,iql_2p_7,iql_2p_8,iql_2p_9,iql_2p_10,iql_2p_11,iql_2p_12
iql_2p_1,23.8875,17.6178,3.5095,5.8933,11.3137,16.9586,20.2326,17.3837,21.0749,17.7146,10.3433,19.2578
iql_2p_2,17.7231,23.6591,7.1884,10.0787,10.888,15.1254,16.9293,19.4131,17.2309,19.9392,12.4037,20.3398
iql_2p_3,3.621,6.952,23.7953,3.6774,3.3033,3.7215,3.184,5.1777,4.1137,5.4139,2.1073,4.1049
iql_2p_4,6.1482,9.8494,3.7398,23.6148,2.7173,8.2019,4.6273,8.9396,7.7247,5.6299,3.0186,5.8463
iql_2p_5,11.3326,10.9426,3.1283,2.7703,23.7853,8.8908,12.0209,11.3058,10.3341,9.8966,5.9066,10.4999
iql_2p_6,16.6981,15.0764,3.9061,8.1342,8.8729,23.3993,16.451,15.6269,18.6507,15.3246,7.1737,15.3782
iql_2p_7,20.2576,16.8182,2.9751,4.4353,11.8621,16.5032,23.8621,20.4471,16.8221,19.1279,7.5876,15.0119
iql_2p_8,17.3624,19.3795,5.2765,8.9363,11.2735,15.6536,20.5466,23.715,15.7319,20.8666,11.558,17.8049
iql_2p_9,20.9537,17.0541,4.406,7.6091,10.1867,18.6556,17.0561,15.543,23.7274,17.1973,8.788,19.1779
iql_2p_10,17.9023,19.8537,5.6147,5.3736,9.8848,15.435,19.1602,20.5895,17.3155,23.7731,11.6892,20.049
iql_2p_11,10.4947,12.794,2.0888,2.9381,6.5094,7.6889,7.7317,11.5266,9.153,11.6673,23.9506,13.1531
iql_2p_12,19.395,20.3034,4.1563,6.0188,10.7441,15.3627,14.7098,17.7141,19.1699,20.0294,13.0377,23.7823
